INCIDENT_NUMBER,IMPACT,URGENCY,PRIORITY,STATUS,STATUS_REASON,LAST_MODIFIED_BY,LAST_MODIFIED_DATE,REPORTED_DATE,RESPONDED_DATE,EPOCHTODATE(CLOSED_DATE),OWNER_GROUP,OWNER,MANUFACTURER,PRODUCT_MODEL_VERSION,PRODUCT_CATEGORIZATION_TIER_1,PRODUCT_CATEGORIZATION_TIER_2,PRODUCT_CATEGORIZATION_TIER_3,SERVICECI,HPD_CI,CI,SERVICE,COMPANY,CATEGORIZATION_TIER_1,CATEGORIZATION_TIER_2,CATEGORIZATION_TIER_3,REPORTED_SOURCE,ASSIGNED_GROUP,ASSIGNEE,CATEGORY,RESOLUTION_CATEGORY,RESOLUTION_METHOD,RESOLUTION_CATEGORY_TIER_2,RESOLUTION_CATEGORY_TIER_3,RESOLUTION,DESCRIPTION,DETAILED_DESCRIPTION
PDINC0001251647,Minor/Localized,High,Medium,Closed,19000,AR_ESCALATOR,22-Jan-13,3-Jan-13,3-Jan-13,22-Jan-13,Global Telecom,,BMC Software Internal,,Service,IT-Service,Infrastructure,Desktop Software Services,,,,BMC Software Inc.,Other,Other,Other,6000,Americas Client Services - Remote,Michael Stollings,,,On-Site Support,,,Set up user in Avaya & emailed him information. Did webex to configure.,need avaya soft phone license,need avaya soft phone license
PDINC0001251986,Moderate/Limited,Medium,Medium,Closed,19000,AR_ESCALATOR,19-Feb-13,4-Jan-13,4-Jan-13,19-Feb-13,Open Sys Data Mgmt,,,,,,,,,,,BMC Software Inc.,Infrastructure Services,Backup and Recovery,Other,12000,Open Sys Data Mgmt,Rajesh Bote,,,Self-Service,,,Backup of sybil is happening successfully.,DA_Backup_Failure:Pelican:sybil,"DD_UNIX_02 completedFailed:  sybil--- Unsuccessful Save Sets ---* sybil:/zonepaths 1 retry attempted* sybil:/zonepaths lost connection to server, exiting     * <WARNING> :  Warning: `/zonepaths/sybilz3/root/local/home/ssobuild/workspace/AtriumSSOTest_SolarisInstall-8.1.00/installs/AtriumSSO/tomcat/webapps/atriumsso/WEB-INF/config/atriumsso/stats/amPolicyStats' size grew during save--- Successful Save Sets ---* sybil:All savefs sybil: succeeded.  sybil: /sioux-z1                  level=incr,      0 KB 00:00:49      0 files  sybil: /zone                      level=incr,      0 KB 00:00:05      0 files  sybil: /devices                   level=incr,     12 KB 00:00:06      7 files* sybil:/var 66135:save: NSR directive file (/var/nsr/run/.nsr) parsed* sybil:/var 66135:save: NSR directive file (/var/nsr/cores/nsrexecd/.nsr) parsed  sybil: /var                       level=incr,    364 MB 00:34:52     12 files* sybil:/ 66135:save: NSR directive file (/nsr/run/.nsr) parsed* sybil:/ 66135:save: NSR directive file (/nsr/cores/nsrexecd/.nsr) parsed  sybil: /                          level=incr,     10 MB 00:03:02     27 files  pelican: index:sybil              level=9,      3536 KB 00:00:03     31 files"
PDINC0001252155,Minor/Localized,Low,Low,Closed,19000,AR_ESCALATOR,19-Jan-13,4-Jan-13,4-Jan-13,19-Jan-13,Americas Client Services - Remote,,BMC Software Internal,,Service,IT-Service,Infrastructure,Desktop Software Services,,,,BMC Software Inc.,Infrastructure Services,IT Service Management,Work Request,,Global Networking,Raul Suniga,,,On-Site Support,,,new ip address created,Create new IP address for Seafin located in bldg 1.6th kitchen,
PDINC0001252156,Minor/Localized,Low,Low,Closed,19000,AR_ESCALATOR,19-Jan-13,4-Jan-13,4-Jan-13,19-Jan-13,Service Desk,,BMC Software Internal,,Service,IT-Service,Infrastructure,Desktop Software Services,,,,BMC Software Inc.,Service Desk,Informational Request,Information,6000,Service Desk,Venkat Subramaniam,,,Service Desk assisted,,,helped and eductaed user on how to place order,Information Request,User called at the service desk to get some general information about Adobe procurement
PDINC0001252163,Minor/Localized,Low,Low,Closed,19000,AR_ESCALATOR,21-Feb-13,4-Jan-13,4-Jan-13,21-Feb-13,Americas Client Services,,BMC Internal,,Service,IT-Service,Business,Desktop Hardware Services,,,,BMC Software Inc.,Executive Support,Hardware,Hardware,,Executive Support Services,Tom Valdez,,,On-Site Support,,,Dell replaced motherboard. System OK.,Sound issue on laptop.,E6230 laptop sound does not work.
PDINC0001252171,Minor/Localized,High,Medium,Closed,19000,AR_ESCALATOR,19-Jan-13,4-Jan-13,4-Jan-13,19-Jan-13,Service Desk,,BMC Internal,,BSM,ESM,Service Support,BSM_Control/SA,,,,BMC Software Inc.,User Access Administration,Account Lockouts,Resets,6000,Service Desk,Neel Patil,,,Service Desk assisted,,,Unlocked Account per the problem reported & Informed the same to User to try out,Account Lockout Problems,User called in as the Domain Account was Locked & needed it to be Restored
PDINC0001252209,Minor/Localized,Low,Low,Closed,19000,AR_ESCALATOR,19-Jan-13,4-Jan-13,4-Jan-13,19-Jan-13,Service Desk,,BMC Internal,,Service,IT-Service,Infrastructure,VPN,,,,BMC Software Inc.,User Access Administration,Remote Access (RSA),Connectivity,6000,Service Desk,Neel Patil,,,Service Desk assisted,,,After certenroll user is able to login to BEACON PC,Need help with BEACON connection,Need help with BEACON connection
PDINC0001252517,Significant/Large,Medium,Medium,Closed,19000,AR_ESCALATOR,23-Jan-13,4-Jan-13,4-Jan-13,23-Jan-13,Service Desk,,BMC Internal,,IT,COTS,Other,Blackberry,,,,BMC Software Inc.,Blackberry and Mobiles,Blackberry,Lost Device/Replacement/Device Upgrade,6000,Service Desk,Simon Lingayat,,,Service Desk assisted,,,"Ordered an iphone 5, sent user shipment details and instructions for activating the phone and emails.",Iam eligible for an upgrade and need iphone 5. Cell no 3037263139,Iam eligible for an upgrade and need iphone 5. Cell no 3037263139
PDINC0001252835,Minor/Localized,Low,Low,Closed,19000,dataylor,9-Jan-13,5-Jan-13,9-Jan-13,9-Jan-13,Information Security,,,,,,,,,,,BMC Software Inc.,Information Security,SOX Controls Audit,GCC-2023,12000,Infosec Automation,Information Security,,,Auto Resolve,,,Automation failed to close incidents,Mobile Device Management tracker EID: 43783,"This is a tracking incident and should close automatically.  If this ticket remains open for more than 24 hours, manual intervention is required.  The employee record being checked for mobile devices is:43783"
PDINC0001252538,Minor/Localized,Low,Low,Closed,19000,AR_ESCALATOR,21-Jan-13,6-Jan-13,6-Jan-13,21-Jan-13,Israel PC/Networking,,BMC Software Internal,,Service,IT-Service,Infrastructure,Desktop Software Services,,,,BMC Software Inc.,Phones,Desktop Phones,Change/modify,,Israel PC/Networking,Danny Levy,,Phone Systems,On-Site Support,Software,Change/modify,"Discovered that the Polycom Phone in TLV Alonm meeting room was configured with ""Follow me"" feature to the reception extension.Resolved by disabling Follow me.","Prolems in TLV alon , polycom phone.","When Dialing to the Polycom phone in  TLV Alon meeting room (extension 41558,) we are being routed to TLV reception extension instead of the room extension."
PDINC0001252547,Minor/Localized,High,Medium,Closed,19000,AR_ESCALATOR,21-Jan-13,6-Jan-13,6-Jan-13,21-Jan-13,Service Desk,,BMC Internal,,BSM,ESM,Service Support,BSM_Control/SA,,,,BMC Software Inc.,User Access Administration,Account Lockouts,Resets,6000,Service Desk,Pinaak Bam,,,Service Desk assisted,,,Unlocked Account per the problem reported & Informed the same to User to try out,Account Lockout Problems,User called in as the Domain Account was Locked & needed it to be Restored
PDINC0001252599,Minor/Localized,High,Medium,Closed,19000,AR_ESCALATOR,22-Jan-13,7-Jan-13,7-Jan-13,22-Jan-13,Service Desk,,BMC Internal,,BSM,ESM,Service Support,BSM_Control/SA,,,,BMC Software Inc.,User Access Administration,Account Lockouts,Resets,6000,Service Desk,Paresh Prabhudesai,,,Service Desk assisted,,,Unlocked account but user still couldnt login.Hence reset password to same password.Account was getting locked due to wireless profile.Hence created new WiFi profile.,Account Lockout Problems,User called in as the Domain Account was Locked & needed it to be Restored
PDINC0001252608,Minor/Localized,Low,Low,Closed,19000,AR_ESCALATOR,4-Feb-13,7-Jan-13,7-Jan-13,4-Feb-13,Asia Pacific IS,,,,,,,,,,,BMC Software Inc.,Desktop Support,Hardware,System Hardware Failure,,Asia Pacific IS,Francis Goh,,,On-Site Support,,,1) Chk sys2) Found sys hDD bad sector3) Dell replace hdd,System blue screen,System blue screen
PDINC0001253513,Moderate/Limited,Medium,Medium,Closed,19000,AR_ESCALATOR,22-Jan-13,7-Jan-13,7-Jan-13,22-Jan-13,Service Desk,,,,Service,IT-Service,Infrastructure,Desktop Software Services,,,,BMC Software Inc.,Printer Support,Services,Printer Configuration,6000,Service Desk,Paresh Prabhudesai,,,Service Desk assisted,,,User needs printer path.Gave \\icc-prtsvr to map.User able to map required printer.,Network Printer Configuration and Mapping.,User called service desk to get the Network printer mapped and configured on the user's machine.
PDINC0001254878,Minor/Localized,Medium,Medium,Closed,19000,AR_ESCALATOR,22-Jan-13,7-Jan-13,7-Jan-13,22-Jan-13,Service Desk,,BMC Internal,,Service,IT-Service,Infrastructure,VPN,,,,BMC Software Inc.,User Access Administration,Remote Access (RSA),Token Registration,6000,Service Desk,Jitendra Wadhwani,,,Service Desk assisted,,,"After the token activation, user is able to connect to the VPN without any problem.",RSA Token Activation,Need to Activate my RSA token to connect to the VPN Remotely
PDINC0001254895,Minor/Localized,Low,Low,Closed,19000,AR_ESCALATOR,22-Jan-13,7-Jan-13,7-Jan-13,22-Jan-13,Sales Apps Supp,,BMC Internal,,IT,ASP,Web,Salesforce.com,,,,BMC Software Inc.,Business Application,Sales & Marketing,Salesforce.com Administration,,Sales Apps Supp,Jagannatha Singh Rasputra,,,On-Site Support,,,added Amazon AWS to Specialty Products field,Add Amazon AWS to Specialty Products field,Add Amazon AWS to Specialty Products field
PDINC0001255418,Minor/Localized,High,Medium,Closed,19000,AR_ESCALATOR,7-Feb-13,7-Jan-13,7-Jan-13,7-Feb-13,Americas Client Services,,BMC Software Internal,,Service,IT-Service,Infrastructure,Desktop Software Services,,,,BMC Software Inc.,Desktop Support,Services,Other,6000,Americas Client Services - Remote,Jim Kubiak,,,Remote Assistance/Tool,,,"moving to a mac, will reimage PC",user callled as he was getting 100%CPU,user callled as he was getting 100%CPU
PDINC0001255439,Minor/Localized,Low,Low,Closed,19000,AR_ESCALATOR,22-Jan-13,7-Jan-13,7-Jan-13,22-Jan-13,Service Desk,,BMC Software Internal,,Service,IT-Service,Infrastructure,Desktop Software Services,,,,BMC Software Inc.,Service Desk,Informational Request,Information,6000,Service Desk,Venkat Subramaniam,,,Service Desk assisted,,,Asked user to uninstall and reinstall Juniper. issue resolved,Information Request,User called at the service desk informing he is getting disconnected from Juniper.
PDINC0001255473,Moderate/Limited,Medium,Medium,Closed,19000,AR_ESCALATOR,23-Jan-13,8-Jan-13,8-Jan-13,23-Jan-13,Provisioning,,BMC Software Internal,,Service,IT-Service,Infrastructure,Storage Hosting,,,,BMC Software Inc.,Infrastructure Services,Storage,EMC Storage,,Storage Support,Suhas Shinde,,,Remote Assistance/Tool,,,lun extended,Need LUN at India Pune,"Hello ,please Provide LUN for below request .Request Id      REQ000001012403                 Work Order Id     PDWO00000881492  Requestor           Atul Gaikwad      Contact Lead       Ajay Uke PL PF               BSM Solutions / Solution QA           Location             India Pune      Thanks"
PDINC0001255475,Moderate/Limited,Medium,Medium,Closed,19000,AR_ESCALATOR,23-Jan-13,8-Jan-13,8-Jan-13,23-Jan-13,Provisioning,,BMC Software Internal,,Service,IT-Service,Infrastructure,Storage Hosting,,,,BMC Software Inc.,Infrastructure Services,Storage,EMC Storage,,Storage Support,Suhas Shinde,,,Remote Assistance/Tool,,,lun extended,Need LUN at India Pune,"hello ,Please provide LUN for below requestRequest Id        REQ000001023519      Work Order Id      PDWO00000883680 Requestor           Deepa Bhat     Contact Lead       Christopher Compy PL PF               Customer Engineering / BSM Solutions         Location             India Pune Thanks"
PDINC0001255938,Minor/Localized,Low,Low,Closed,19000,AR_ESCALATOR,23-Jan-13,8-Jan-13,8-Jan-13,23-Jan-13,Service Desk,,BMC Internal,,BSM,ESM,Service Support,BSM_Control/SA,,,,BMC Software Inc.,User Access Administration,Password Management,Passport,6000,Service Desk,Sandeep Kamath,,,Service Desk assisted,,,Reset Domain Password as Requested & provided it to the User,tlvmainfax Password Reset Request,User called in requesting a passwprd reset for tlvmainfax
PDINC0001255958,Minor/Localized,High,Medium,Closed,19000,AR_ESCALATOR,23-Jan-13,8-Jan-13,8-Jan-13,23-Jan-13,Service Desk,,BMC Internal,,BSM,ESM,Service Support,BSM_Control/SA,,,,BMC Software Inc.,User Access Administration,Account Lockouts,Resets,6000,Service Desk,Neel Patil,,,Service Desk assisted,,,Unlocked Account per the problem reported & Informed the same to User to try out. ID was locked from BMC-2ZVT2M1,Account Lockout Problems,User called in as the Domain Account was Locked & needed it to be Restored
PDINC0001255980,Minor/Localized,Medium,Medium,Closed,19000,AR_ESCALATOR,26-Jan-13,8-Jan-13,8-Jan-13,26-Jan-13,India IS,,BMC Software Internal,,Service,IT-Service,Infrastructure,Desktop Software Services,,,,BMC Software Inc.,Desktop Support,Software,Encryption,6000,India IS,Nishant Sharma,,,On-Site Support,,,"Issue resolved, hence closing the ticket.",user called as he was unable to login to the Mcafee Encryption,user called as he was unable to login to the Mcafee Encryption
